"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30415","TC_LOGIN_05 - Valid new user signup should navigate to registration form","Google Chrome","2026-06-16","broken","2026-06-16","","loginpage.spec.ts","",""
"","30477","TC_LOGIN_05 - Valid new user signup should navigate to registration form","Microsoft Edge","2026-06-16","broken","2026-06-16","","loginpage.spec.ts","",""
"","30449","TC_LOGIN_06 - Signup with already registered email should show error message","Microsoft Edge","2026-06-16","broken","2026-06-16","","loginpage.spec.ts","",""
"","30419","TC_LOGIN_02 - Valid credentials should login and redirect to homepage","Microsoft Edge","2026-06-16","broken","2026-06-16","","loginpage.spec.ts","",""
"","30395","TC_LOGIN_02 - Valid credentials should login and redirect to homepage","Google Chrome","2026-06-16","broken","2026-06-16","","loginpage.spec.ts","",""
"","30421","TC_LOGIN_04 - Empty credentials should keep user on login page","Microsoft Edge","2026-06-16","broken","2026-06-16","","loginpage.spec.ts","",""
"","6044","TC_LOGIN_01 - Login page should load with both login and signup sections visible","Microsoft Edge","2026-06-16","failed","2026-06-16","","loginpage.spec.ts","",""
"","30447","TC_LOGIN_07 - Signup with empty fields should keep user on login page","Microsoft Edge","2026-06-16","broken","2026-06-16","","loginpage.spec.ts","",""
"","30383","TC_LOGIN_03 - Invalid credentials should display error message","Google Chrome","2026-06-16","broken","2026-06-16","","loginpage.spec.ts","",""
"","30459","TC_LOGIN_03 - Invalid credentials should display error message","Microsoft Edge","2026-06-16","broken","2026-06-16","","loginpage.spec.ts","",""
"","30364","TC_LOGIN_07 - Signup with empty fields should keep user on login page","Google Chrome","2026-06-16","broken","2026-06-16","","loginpage.spec.ts","",""
"","30377","TC_LOGIN_06 - Signup with already registered email should show error message","Google Chrome","2026-06-16","broken","2026-06-16","","loginpage.spec.ts","",""
"","30333","TC_LOGIN_04 - Empty credentials should keep user on login page","Google Chrome","2026-06-16","broken","2026-06-16","","loginpage.spec.ts","",""
"","6156","TC_LOGIN_01 - Login page should load with both login and signup sections visible","Google Chrome","2026-06-16","failed","2026-06-16","","loginpage.spec.ts","",""
